WKT,name
"POLYGON ((-74.0078605 40.6861131, -74.0038479 40.6800274, -73.9989985 40.6894486, -73.9990629 40.6898716, -73.9989341 40.6906038, -73.999492 40.6916288, -74.001788 40.6921494, -74.0019811 40.6918728, -74.0043844 40.6924423, -74.0047921 40.6917589, -74.0007795 40.6905875, -74.001037 40.6901319, -74.0017665 40.6903597, -74.0019811 40.6901645, -74.00535 40.6910431, -74.0057362 40.6902296, -74.0035046 40.6895787, -74.0038908 40.6890093, -74.0063156 40.6896276, -74.0067662 40.6888303, -74.0046848 40.6882283, -74.0051139 40.6875937, -74.0074314 40.6881958, -74.0078605 40.6874473, -74.0057362 40.6867639, -74.0059079 40.6861782, -74.0069593 40.686471, -74.0078605 40.6861131))",Columbia Street Waterfront District
"POLYGON ((-73.9988816 40.6914801, -73.998667 40.6906178, -73.9985812 40.6896904, -74.0004241 40.6851752, -73.9952742 40.6837433, -73.9924228 40.6896742, -73.9988816 40.6914801))",Cobble Hill
"POLYGON ((-74.001788 40.6921494, -73.9924228 40.6896742, -73.9920799 40.6903186, -73.9901273 40.6896678, -73.9893333 40.6910508, -73.9913962 40.6916212, -73.9900346 40.6936837, -73.9907212 40.6944972, -73.9908383 40.6949727, -73.9912889 40.6965833, -73.9913962 40.6987633, -73.9908597 40.700325, -73.9907524 40.7008781, -73.9907953 40.7017891, -73.9916751 40.7023584, -73.9921472 40.7024886, -73.9945075 40.7041966, -73.9949796 40.7038875, -73.9948294 40.7037249, -73.9950225 40.7036598, -73.9944431 40.7033182, -73.9946363 40.7032694, -73.9953229 40.7035297, -73.9953873 40.7032857, -73.9951298 40.7031881, -73.9952156 40.7029603, -73.9961383 40.7032857, -73.9980909 40.70148, -73.9969108 40.700992, -73.9973614 40.6997394, -73.9994213 40.7002437, -73.9999148 40.6994953, -73.9981124 40.6987958, -73.9977262 40.6993815, -73.9977691 40.6988283, -73.9974901 40.6986982, -73.9978549 40.6987307, -73.9984128 40.6979987, -74.0004942 40.6986819, -74.0009234 40.6979173, -73.9991424 40.6972829, -73.9987991 40.6978848, -73.9985201 40.6978197, -73.9987776 40.6967623, -73.9990565 40.696746, -73.9992711 40.6968436, -73.9995072 40.6966321, -73.9992282 40.6963393, -73.9994642 40.6957536, -74.0000651 40.6948426, -74.0023825 40.6956397, -74.0030048 40.6947449, -74.0009234 40.6940779, -74.0013311 40.6932807, -74.003391 40.6939477, -74.0038845 40.6932807, -74.0017173 40.6924672, -74.001788 40.6921494))",Brooklyn Heights
"POLYGON ((-73.9845438 40.7055015, -73.9847155 40.7023132, -73.9812179 40.7022156, -73.9811289 40.702911, -73.979777 40.7024392, -73.9793908 40.704131, -73.9804025 40.7058756, -73.9823122 40.705778, -73.9823981 40.705469, -73.9834066 40.7054202, -73.9834924 40.7056479, -73.9845438 40.7055015))",Vinegar Hill
"POLYGON ((-73.9845438 40.7055015, -73.9863239 40.7054684, -73.9866028 40.7046225, -73.9867959 40.7051431, -73.9881048 40.7050129, -73.9882765 40.7046876, -73.9889202 40.7044924, -73.9893279 40.7046551, -73.9895425 40.7048015, -73.9901648 40.7049153, -73.9903794 40.7044924, -73.9910016 40.7040532, -73.9918599 40.7041345, -73.9922462 40.7047039, -73.9944134 40.7043785, -73.9919458 40.7025404, -73.991581 40.7024753, -73.9910875 40.7019059, -73.9905939 40.7017107, -73.9897142 40.7016782, -73.9847789 40.7014179, -73.9845438 40.7055015))",DUMBO
"POLYGON ((-73.9801641 40.6876313, -73.9815309 40.6898654, -73.978484 40.6898003, -73.9791706 40.6933471, -73.9826038 40.6936399, -73.9823356 40.6983904, -73.9830494 40.6984374, -73.9830295 40.6998385, -73.9838564 40.6998802, -73.9839109 40.7005075, -73.9847666 40.7006711, -73.9847789 40.7014179, -73.9847682 40.7014179, -73.9905832 40.7017107, -73.9913756 40.6986945, -73.9913327 40.696661, -73.9910216 40.6959289, -73.9907212 40.6944972, -73.9900346 40.6936837, -73.9913855 40.6916212, -73.9893226 40.6910508, -73.9801641 40.6876313))",Downtown Brooklyn
"POLYGON ((-73.9642804 40.6809528, -73.9624779 40.6715792, -73.9611436 40.6630049, -73.9480974 40.6641117, -73.9314462 40.6634606, -73.9253195 40.6658329, -73.9226167 40.667314, -73.9225202 40.6683475, -73.9223163 40.6705446, -73.9217902 40.6766597, -73.9533388 40.6788132, -73.9642804 40.6809528))",Crown Heights
"POLYGON ((-73.9226167 40.667314, -73.9253195 40.6658329, -73.9076813 40.6500431, -73.9000424 40.6546339, -73.8990982 40.6561316, -73.8988407 40.6570106, -73.9033898 40.67537, -73.9028319 40.6758907, -73.9217902 40.6766597, -73.9226167 40.667314))",Brownsville
"POLYGON ((-73.9619425 40.6551534, -73.9597967 40.6556092, -73.9597538 40.6548278, -73.9472654 40.6555115, -73.9481237 40.6640735, -73.9608003 40.6630049, -73.9625004 40.663162, -73.963187 40.6623482, -73.9619425 40.6551534))",Prospect Lefferts Gardens
"POLYGON ((-73.9798647 40.6609265, -73.9841562 40.6564663, -73.9818388 40.6550664, -73.9802509 40.6472847, -73.9750582 40.6478708, -73.9731699 40.6475777, -73.9713245 40.6483592, -73.9744574 40.6583546, -73.9798647 40.6609265))",Windsor Terrace
